chrom scaffold Cposition position mean p0025 p0500 p0975
Herato08 Herato0801 25001.0 25000.0 0.129803635096 0.109653333688 0.128614574278 0.156035909657
Herato08 Herato0801 75001.0 75000.0 0.21095961196 0.190302848842 0.21125751992 0.23430388908
Herato08 Herato0801 125001.0 125000.0 0.14184027146 0.131767893458 0.14115349414 0.15689658942
Herato08 Herato0801 175001.0 175000.0 0.2212931936 0.2057249972 0.2207761674 0.2441547704
Herato08 Herato0801 225001.0 225000.0 0.2444415754 0.2251241704 0.2466206884 0.2679509818
Herato08 Herato0801 275001.0 275000.0 0.1679432598 0.1622810644 0.1681731234 0.174676088
Herato08 Herato0801 325001.0 325000.0 0.14501578898 0.125839616146 0.144059026036 0.1716087165
Herato08 Herato0801 375001.0 375000.0 0.122106439922 0.102429892291 0.122921674264 0.132978173586
Herato08 Herato0801 425001.0 425000.0 0.172788064666 0.159607278402 0.172653006458 0.185785664662
Herato08 Herato0801 475001.0 475000.0 0.0841547113383 0.0751829607759 0.0842169253248 0.0945095713478
Herato08 Herato0801 525001.0 525000.0 0.126652347977 0.109386581119 0.125863846744 0.151705810262
Herato08 Herato0801 575001.0 575000.0 0.122967918908 0.0938013110028 0.119362401968 0.168916166932
Herato08 Herato0801 625001.0 625000.0 0.11759928778 0.106178081028 0.11731829312 0.13104392902
Herato08 Herato0801 675001.0 675000.0 0.148113584081 0.124392334052 0.14713782624 0.177848428785
Herato08 Herato0801 725001.0 725000.0 0.165906472912 0.151185898753 0.16578744913 0.183911348876
Herato08 Herato0801 775001.0 775000.0 0.10570386725 0.09735248782 0.104696453672 0.11861468832
Herato08 Herato0801 825001.0 825000.0 0.1519581696 0.130063496852 0.151303237492 0.17639558604
Herato08 Herato0801 875001.0 875000.0 0.13041625098 0.11134807932 0.12692157768 0.15479646656
Herato08 Herato0801 925001.0 925000.0 0.161643157774 0.128236315548 0.164471975582 0.17927089792
Herato08 Herato0801 975001.0 975000.0 0.15980734925 0.152109272434 0.159545910154 0.17087428554
Herato08 Herato0801 1025001.0 1025000.0 0.1769199772 0.167973473 0.176840861 0.1888217836
Herato08 Herato0801 1075001.0 1075000.0 0.148622160484 0.136307635747 0.148022066994 0.16267044784
Herato08 Herato0801 1125001.0 1125000.0 0.12283291766 0.11342393336 0.12228190694 0.132930589
Herato08 Herato0801 1175001.0 1175000.0 0.1400213232 0.1354447178 0.1398487298 0.1437702462
Herato08 Herato0801 1225001.0 1225000.0 0.172903450539 0.163885605492 0.172358629824 0.182138716722
Herato08 Herato0801 1275001.0 1275000.0 0.09631889978 0.08891366086 0.09611350132 0.10481948356
Herato08 Herato0801 1325001.0 1325000.0 0.1894765056 0.17436908134 0.18741783226 0.20923712068
Herato08 Herato0801 1375001.0 1375000.0 0.113527471062 0.102027687756 0.11235183979 0.12702451391
Herato08 Herato0801 1425001.0 1425000.0 0.12709176868 0.119547165505 0.127406023699 0.13515340244
Herato08 Herato0801 1475001.0 1475000.0 0.149244452796 0.12671115323 0.149749600672 0.173956663136
Herato08 Herato0801 1525001.0 1525000.0 0.144166167928 0.132939246086 0.143906302655 0.158302889392
Herato08 Herato0801 1575001.0 1575000.0 0.1261436232 0.1207937112 0.126217736 0.1304108552
Herato08 Herato0801 1625001.0 1625000.0 0.132998139552 0.123667717084 0.132836189562 0.14313373446
Herato08 Herato0801 1675001.0 1675000.0 0.12466609542 0.116795684482 0.124135179684 0.13525802284
Herato08 Herato0801 1725001.0 1725000.0 0.09343952374 0.084005106552 0.0930318265 0.105559783764
Herato08 Herato0801 1775001.0 1775000.0 0.081630032018 0.0704327971941 0.0816239190916 0.092088786774
Herato08 Herato0801 1825001.0 1825000.0 0.0517700776301 0.0441245109083 0.051539918999 0.0613197869
Herato08 Herato0801 1875001.0 1875000.0 0.0635032726551 0.0584961900725 0.0634050459369 0.0680888743584
Herato08 Herato0801 1925001.0 1925000.0 0.08926953404 0.0834557449728 0.089395549054 0.09552074948
Herato08 Herato0801 1975001.0 1975000.0 0.101233418526 0.0878751617118 0.100642583229 0.120857792543
Herato08 Herato0801 2025001.0 2025000.0 0.14755363492 0.134505090862 0.145958414428 0.170191542744
Herato08 Herato0801 2075001.0 2075000.0 0.102561086004 0.0955515670066 0.102548521614 0.110167886322
Herato08 Herato0801 2125001.0 2125000.0 0.15308941704 0.137277163336 0.15289557256 0.16944417522
Herato08 Herato0801 2175001.0 2175000.0 0.191070566288 0.180042459521 0.191929034716 0.198964864792
Herato08 Herato0801 2225001.0 2225000.0 0.205706764 0.1932425876 0.2066620414 0.2122857424
Herato08 Herato0801 2275001.0 2275000.0 0.2048826734 0.2010165246 0.2042120794 0.2110995114
Herato08 Herato0801 2325001.0 2325000.0 0.1465610825 0.124469544293 0.144357010314 0.176730807706
Herato08 Herato0801 2375001.0 2375000.0 0.235584201538 0.188006273392 0.23224461787 0.30148634426
Herato08 Herato0801 2425001.0 2425000.0 0.26118177082 0.23810040502 0.2601741359 0.28574977196
Herato08 Herato0801 2475001.0 2475000.0 0.17212125418 0.15570569118 0.17287513572 0.190663419
Herato08 Herato0801 2525001.0 2525000.0 0.106597763966 0.098166669538 0.106730500016 0.114392556894
Herato08 Herato0801 2575001.0 2575000.0 0.12919970344 0.115409251688 0.127652948 0.15834805598
Herato08 Herato0801 2625001.0 2625000.0 0.18020991342 0.150676507586 0.179136411808 0.217695866584
Herato08 Herato0801 2675001.0 2675000.0 0.162382958 0.1554344514 0.1616568964 0.171413997
Herato08 Herato0801 2725001.0 2725000.0 0.178971190556 0.165604264259 0.17782817782 0.193743193794
Herato08 Herato0801 2775001.0 2775000.0 0.128759271386 0.123572094305 0.128300092926 0.135200623987
Herato08 Herato0801 2825001.0 2825000.0 0.172402400358 0.151166825637 0.171393412252 0.193867713868
Herato08 Herato0801 2875001.0 2875000.0 0.1568918892 0.1502283894 0.1562704884 0.1650898088
Herato08 Herato0801 2925001.0 2925000.0 0.19052190076 0.17826188586 0.19120693368 0.19861785312
Herato08 Herato0801 2975001.0 2975000.0 0.19508499381 0.188008787076 0.194848997918 0.20347058283
Herato08 Herato0801 3025001.0 3025000.0 0.13269069034 0.12539575034 0.13294838526 0.14017975038
Herato08 Herato0801 3075001.0 3075000.0 0.125378979556 0.111315288602 0.125388553194 0.142647543103
Herato08 Herato0801 3125001.0 3125000.0 0.145526468352 0.136811897142 0.144930589736 0.153934119184
Herato08 Herato0801 3175001.0 3175000.0 0.09936051004 0.094631294504 0.098927825736 0.10551211286
Herato08 Herato0801 3225001.0 3225000.0 0.100875237758 0.091401803462 0.100722426924 0.112229451592
Herato08 Herato0801 3275001.0 3275000.0 0.189266620532 0.176849607458 0.189350319762 0.202334326534
Herato08 Herato0801 3325001.0 3325000.0 0.17796465798 0.16354373388 0.17718234704 0.19697077646
Herato08 Herato0801 3375001.0 3375000.0 0.204934303744 0.160315194558 0.200549087189 0.275488287985
