1	1504	0
22	4063	1504
23	2148	5567
24	1889	7715
34	4063	9604
35	19340033	13667
36	10665899	19353700
37	15995611	30019599
38	13136115	46015210
39	12664577	59151325
40	16665537	71815902
41	14485549	88481439
42	11118363	102966988
43	13366594	114085351
44	7393031	127451945
45	17071135	134844976
46	9471389	151916111
47	12315748	161387500
48	3497502	173703248
49	7180594	177200750
50	2523576	184381344
51	15205476	186904920
52	6396	202110396
53	8504	202116792
54	6405111	202125296
55	3471739	208530407
56	3197809	212002146
57	667210	215199955
58	2530282	215867165
59	7964	218397447
60	7374357	218405411
61	3632625	225779768
62	3602053	229412393
63	9165050	233014446
64	4486278	242179496
65	12408	246665774
66	5100780	246678182
67	10566161	251778962
68	3831548	262345123
69	6915290	266176671
70	5452	273091961
71	3139	273097413
72	320865	273100552
73	49317	273421417
74	10729287	273470734
75	3773	284200021
76	10775	284203794
77	13782741	284214569
78	20183	297997310
79	6119	298017493
80	4360515	298023612
81	44635	302384127
82	4610055	302428762
83	31144	307038817
84	6033	307069961
85	3689855	307075994
86	12581386	310765849
87	4833	323347235
88	3289	323352068
89	4779	323355357
90	4812	323360136
91	1530	323364948
92	2493	323366478
93	17576	323368971
94	6524	323386547
1866	1217	323393071
1867	1842	323394288
2325	3924	323396130
2363	1202	323400054
2383	1335	323401256
2703	1459	323402591
2784	2188	323404050
3000	1015	323406238
3534	2105	323407253
4404	1894	323409358
4803	1235	323411252
4953	2909	323412487
5880	1003	323415396
5932	1417	323416399
6069	1391	323417816
6071	1467	323419207
6750	1001	323420674
6886	1328	323421675
7301	1408	323423003
7318	1918	323424411
7398	1248	323426329
7451	1501	323427577
7914	1879	323429078
7915	1315	323430957
8092	2009	323432272
8705	2711	323434281
8707	2362	323436992
8708	2514	323439354
8709	1857	323441868
9219	1365	323443725
11152	2397	323445090
11153	1724	323447487
11154	1047	323449211
11155	1701	323450258
11156	1256	323451959
11295	1268	323453215
12059	1329	323454483
12066	1966	323455812
12067	1328	323457778
12361	1618	323459106
12362	2054	323460724
12363	3704	323462778
13425	1356	323466482
13548	1200	323467838
13819	1444	323469038
13820	1134	323470482
13821	1014	323471616
13822	1173	323472630
14330	1730	323473803
14386	1764	323475533
14424	1129	323477297
14425	2300	323478426
14822	1677	323480726
14823	2536	323482403
14824	1461	323484939
14998	1217	323486400
14999	1369	323487617
15112	3610	323488986
15113	2339	323492596
15327	1197	323494935
15372	2876	323496132
15379	1521	323499008
